draw,pearson_r,spearman_rho,cosine_similarity,sign_concordance,projection,frozen_score_log_hr
166,0.4830560600851688,0.36173913043478256,0.7355707895485567,0.7916666666666666,0.2349718712779148,0.10910570179689719
167,0.3894554677015803,0.3173913043478261,0.5355053217362694,0.7083333333333334,0.13800099256731216,0.06328255990824315
168,0.5457869609140833,0.48956521739130426,0.6948359736465536,0.75,0.19700306937132367,0.09221562002446076
169,0.5180450713309194,0.37478260869565216,0.6489024524847874,0.5833333333333334,0.18979512980626242,0.08308048712813092
170,0.5549917239118068,0.4130434782608695,0.7418753151199048,0.8333333333333334,0.26511085074546126,0.11631752088950144
171,0.49262885667117595,0.37478260869565216,0.7277319434608076,0.75,0.2675155665556681,0.1219900162536331
172,0.5877827157252904,0.40782608695652167,0.7252614258823268,0.5833333333333334,0.32616806426070416,0.14537814527115042
173,0.5883092248083068,0.38956521739130434,0.7168862419797987,0.7083333333333334,0.17782243318125204,0.0815245542148534
174,0.591051551692551,0.3652173913043478,0.803594582471557,0.875,0.34589950194733676,0.15665270520039135
175,0.45820695098277936,0.2869565217391304,0.7536865826641245,0.8333333333333334,0.3237991930743409,0.14586831899919145
176,0.46276303959614506,0.3504347826086956,0.7451353097027853,0.875,0.23435096637444022,0.1076198987677086
177,0.5701011560204372,0.39739130434782605,0.7036050148904883,0.625,0.1614420905550786,0.07408676404857167
178,0.44214613987848295,0.29130434782608694,0.5125971349744718,0.4583333333333333,0.1260218136962953,0.05494858924570445
179,0.5117117517482803,0.3869565217391304,0.7580079720560563,0.75,0.26170995108158757,0.12143329778629466
180,0.4365052001883021,0.3652173913043478,0.6860911057774481,0.8333333333333334,0.25260781277919026,0.11312961330241393
181,0.5891313829936486,0.4452173913043478,0.6915422867168114,0.625,0.21020946010983102,0.09347246574636689
182,0.45692332050568024,0.37478260869565216,0.7427632443205049,0.8333333333333334,0.193420436863808,0.08855867602814989
183,0.43178683606883117,0.3652173913043478,0.7403416996109642,0.8333333333333334,0.38720204726851265,0.17799663326999698
184,0.5888890932071751,0.41826086956521735,0.7672001408567265,0.7916666666666666,0.21278298115269953,0.09684587333580082
185,0.1429517469650122,0.054782608695652164,0.6666107219186223,0.875,0.3922344532191346,0.1782319829709783
186,0.3792092989847545,0.3069565217391304,0.7043320435319844,0.6666666666666666,0.24336263307656877,0.11179791894406572
