feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,cohort,subgroup,analysis,bonferroni_alpha_24,bonferroni_significant,trim_lower,trim_upper
rs_diff_III,III,rs_diff,28644,1027,0.9509805754772671,0.8985849382378067,1.0064313527317748,0.08216613325573238,0.8077336918711536,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.009879676700998881,0.17572353412217695
rs_diff_2_III,III,rs_diff_2,28644,1022,0.9714872756791106,0.917352882280469,1.0288162222374413,0.32274135825768197,0.806967379152601,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0042222047448662245,0.12806938176201577
rs_diff_aVR,aVR,rs_diff,28644,1021,0.9446840776460426,0.8954156288020303,0.9966634240592012,0.03731870191580913,0.8079008835214738,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.008732281853604534,0.1428571428570465
rs_diff_2_aVR,aVR,rs_diff_2,28644,1028,0.9936970846581606,0.9420498379630609,1.0481758568030732,0.8163959897777671,0.8076694466506631,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0037805565929327507,0.0944604639481256
rs_diff_aVL,aVL,rs_diff,28644,1028,0.9452579958479574,0.8923023092910556,1.001356456674872,0.055635332340620285,0.8076356706251311,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.01955087454423469,0.16568958982277854
rs_diff_2_aVL,aVL,rs_diff_2,28644,1022,1.0176599074345818,0.9622461617435749,1.0762648149442482,0.540013698788806,0.8076860293756216,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0052978609812291905,0.11116048566791269
rs_diff_aVF,aVF,rs_diff,28644,1022,0.9871115260342727,0.9356671156897131,1.0413844288109388,0.6347657198664121,0.8076929651063962,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.007808265997369407,0.16666666666657076
rs_diff_2_aVF,aVF,rs_diff_2,28644,1021,0.9765433775103912,0.9250385613818739,1.0309159076944931,0.39056375539434474,0.807404344867069,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0035798310316051437,0.11950886086648761
rs_diff_V1,V1,rs_diff,28644,1021,0.8704090938599847,0.8220263193562043,0.9216395787272446,1.9700098441994e-06,0.8106508777489762,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,True,0.00607970422661531,0.14285714285698065
rs_diff_2_V1,V1,rs_diff_2,28644,1017,0.8934306242843849,0.8421614116035379,0.9478210108075587,0.00018602596801131743,0.8088812285491583,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,True,0.0022428423060740633,0.09060726306612736
