cohort,subgroup,feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,bonferroni_alpha_24,bonferroni_significant,source_analysis_label
CODE_replication_corrected,all,rs_diff_2_II,II,rs_diff_2,14447,536,0.9728996387865086,0.900244462910678,1.0514185270194034,0.48780975712303865,0.8172891723127701,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_III,III,rs_diff,14447,536,1.006462474019985,0.9301065487127088,1.0890867428171545,0.8728629604269703,0.8172390442895627,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_2_III,III,rs_diff_2,14447,536,0.9656700440749465,0.8897711119504088,1.0480432793323626,0.4029191222431385,0.8172198827243776,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_aVR,aVR,rs_diff,14447,536,0.9798110394172038,0.9077858332806116,1.057550842685447,0.600583989293985,0.8172375045209318,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_2_aVR,aVR,rs_diff_2,14447,536,0.9931864421425628,0.9137289137418663,1.0795535678259947,0.8723283022715633,0.8171889162663554,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_aVL,aVL,rs_diff,14447,536,0.9255117260753221,0.8503910607029431,1.00726829653509,0.07308726930101457,0.8174486239087745,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_2_aVL,aVL,rs_diff_2,14447,536,0.9209559293343587,0.8371406204659758,1.013162906016916,0.09076862373581387,0.8174883157223722,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_aVF,aVF,rs_diff,14447,536,0.9894303251836118,0.9170378735691191,1.0675375539101555,0.7840060996508604,0.8172320297880218,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_2_aVF,aVF,rs_diff_2,14447,536,0.9655112673542307,0.8900291764715511,1.0473948855066213,0.3980842977438823,0.8174275804041516,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_V1,V1,rs_diff,14447,536,0.8777660511126026,0.8099076431975151,0.9513100005378196,0.0014938449058283052,0.8188934401408101,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,True,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_2_V1,V1,rs_diff_2,14447,536,0.8977497761306925,0.8179939545567617,0.9852819278834686,0.023066676007710382,0.8184729122191591,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_V2,V2,rs_diff,14447,536,0.8780904946328657,0.814109492178784,0.9470997748731131,0.0007571194340489228,0.8191476730503193,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,True,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_2_V2,V2,rs_diff_2,14447,536,0.9236827142692756,0.8481464930909108,1.0059462175343863,0.06818762111379563,0.8179923333209012,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_V3,V3,rs_diff,14447,536,0.9163259105921024,0.8496578210345954,0.9882250873652086,0.02337216016568674,0.8181938719261513,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_2_V3,V3,rs_diff_2,14447,536,0.9777346919510123,0.9016479502659969,1.060242112858483,0.5859266279078118,0.8173993513125843,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,all,rs_diff_V4,V4,rs_diff,14447,536,0.9927342250063562,0.9203003050662596,1.070869189191473,0.8503675089844339,0.8172277526529358,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
