lead,time_ms,score_group,median_normalized_amplitude,q25_normalized_amplitude,q75_normalized_amplitude,n_waveforms
V2,-477.5,Lower quintile,0.6074925545939521,0.4243162966817506,0.7411480412703384,323
V2,-475.0,Lower quintile,0.6022050320546315,0.4273235839371913,0.7419762351161439,323
V2,-472.5,Lower quintile,0.6020980342659653,0.4273603684989278,0.7329646735855595,323
V2,-470.0,Lower quintile,0.6021110684458407,0.4204008180007318,0.7397088159526611,323
V2,-467.5,Lower quintile,0.599123914958943,0.4237312295904653,0.7380259468663549,323
V2,-465.0,Lower quintile,0.599123914958943,0.42073514239467624,0.7327096530927473,323
V2,-462.5,Lower quintile,0.6019472293510113,0.4238944730810773,0.7326982396807614,323
V2,-460.0,Lower quintile,0.5971318065277912,0.4163767221932285,0.7311521876341309,323
V2,-457.5,Lower quintile,0.5974086470058592,0.41701430310406823,0.729431830028376,323
V2,-455.0,Lower quintile,0.6019397765939635,0.4226010019372214,0.7278633490406314,323
V2,-452.5,Lower quintile,0.6035589122483931,0.42334583989169244,0.7304190785922973,323
V2,-450.0,Lower quintile,0.5997371030088875,0.42332990904056766,0.7299750956041899,323
V2,-447.5,Lower quintile,0.6011471788523759,0.42516947597811383,0.7282352016290474,323
V2,-445.0,Lower quintile,0.5995458940946576,0.42336950418836633,0.728416213586133,323
V2,-442.5,Lower quintile,0.5974086470058592,0.42159637405343475,0.7278402459728521,323
V2,-440.0,Lower quintile,0.599123914958943,0.42011256145418474,0.7223637075961797,323
V2,-437.5,Lower quintile,0.600479208958697,0.41689793860674357,0.7229261681420898,323
V2,-435.0,Lower quintile,0.5974086470058592,0.41414197040590894,0.7201795380848439,323
V2,-432.5,Lower quintile,0.598540801143415,0.40620866256119653,0.7191815654702003,323
V2,-430.0,Lower quintile,0.5987586582556976,0.4132363232480051,0.7186139381104262,323
V2,-427.5,Lower quintile,0.5974086470058592,0.4163833653392637,0.7190978320139114,323
V2,-425.0,Lower quintile,0.597072356429753,0.41132531600834793,0.7200645505748187,323
V2,-422.5,Lower quintile,0.5965113269307486,0.4189692813856924,0.7153994761625866,323
V2,-420.0,Lower quintile,0.5974086470058592,0.4064007192048873,0.7211715558586249,323
V2,-417.5,Lower quintile,0.5939645783682566,0.4020507114623718,0.7232217704457417,323
V2,-415.0,Lower quintile,0.5974086470058592,0.41099606448298387,0.719014176148068,323
V2,-412.5,Lower quintile,0.5963299081826186,0.40858475746145845,0.7220352701394815,323
V2,-410.0,Lower quintile,0.5965113269307486,0.41044497098796334,0.7205142800675026,323
V2,-407.5,Lower quintile,0.5974086470058592,0.416011265703085,0.71723725567117,323
V2,-405.0,Lower quintile,0.5897584375006001,0.410643207366998,0.7177647228556264,323
V2,-402.5,Lower quintile,0.5883898701919594,0.4172241652495522,0.7179982712411901,323
V2,-400.0,Lower quintile,0.603287021578261,0.4139985971680158,0.7174344424393642,323
V2,-397.5,Lower quintile,0.599123914958943,0.4125384435870597,0.7175253972032072,323
V2,-395.0,Lower quintile,0.5965768383821342,0.41208015517969715,0.7162609305139663,323
V2,-392.5,Lower quintile,0.5943529759436385,0.4217503340075814,0.7159627490614697,323
V2,-390.0,Lower quintile,0.5918929200725692,0.41787492833882084,0.7166209943606825,323
V2,-387.5,Lower quintile,0.599123914958943,0.4138359789955518,0.7180429168540388,323
V2,-385.0,Lower quintile,0.5890720821187478,0.41120955059672426,0.7216621325960098,323
V2,-382.5,Lower quintile,0.5960450986804352,0.41083430188510794,0.7234610341205991,323
V2,-380.0,Lower quintile,0.593381329725425,0.4018062639974489,0.7200870577911322,323
V2,-377.5,Lower quintile,0.596796358047721,0.4071908653167631,0.7158698935880865,323
V2,-375.0,Lower quintile,0.5874015985864476,0.4118579106916272,0.7159767317147514,323
V2,-372.5,Lower quintile,0.584992910525709,0.4125241837028425,0.7135135301623413,323
V2,-370.0,Lower quintile,0.5819142923084416,0.4006325329475604,0.714531122755844,323
V2,-367.5,Lower quintile,0.5851725604653738,0.4127414954715186,0.715445880188164,323
V2,-365.0,Lower quintile,0.5833024898314526,0.4116456791617026,0.7148966299024095,323
V2,-362.5,Lower quintile,0.5798861233311601,0.4020006037408016,0.709056653332172,323
V2,-360.0,Lower quintile,0.5839109511543465,0.4060034892286718,0.7115275979283184,323
V2,-357.5,Lower quintile,0.585586104145077,0.4092469587131049,0.7119608376283765,323
V2,-355.0,Lower quintile,0.5853725128123788,0.4034153914584768,0.7099050804314697,323
