cohort,subgroup,feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,bonferroni_alpha_24,bonferroni_significant,source_analysis_label
CODE_replication_corrected,normal_ecg,rs_diff_I,I,rs_diff,5453,81,0.9192269022269884,0.7723344027927842,1.0940573082363796,0.34309649268476744,0.797671463965935,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_2_I,I,rs_diff_2,5453,81,0.8922071659153966,0.7416425587784641,1.073338655513386,0.22648239131274325,0.7989811900400462,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_II,II,rs_diff,5453,81,1.0757713719319482,0.9135258491399384,1.2668322913444647,0.38122320649602726,0.7971825800396539,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_2_II,II,rs_diff_2,5453,81,1.0869558000585158,0.9329437923361781,1.266392381820056,0.28480497167586205,0.7988846203755956,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_III,III,rs_diff,5453,81,1.0237694369613168,0.8629174988843259,1.2146049435910093,0.7876475135648789,0.7990234392682434,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_2_III,III,rs_diff_2,5453,81,1.0165052621788593,0.8584003816585172,1.2037307649385047,0.8494705893972799,0.7991652759629052,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_aVR,aVR,rs_diff,5453,81,1.0283283841353947,0.8691135916941283,1.2167100776289195,0.744818811976184,0.7989932612481025,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_2_aVR,aVR,rs_diff_2,5453,81,0.9980203441478447,0.8399674039262726,1.1858134049930458,0.9820275430414726,0.7990747419024827,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_aVL,aVL,rs_diff,5453,81,0.9310664368649283,0.7806273289946131,1.1104975161103228,0.4269942559248191,0.7987518370869761,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
CODE_replication_corrected,normal_ecg,rs_diff_2_aVL,aVL,rs_diff_2,5453,81,0.92814181564114,0.7723043846901491,1.115424497152437,0.42651741770159424,0.7989842078420604,age;is_male;nn_predicted_age,0.0020833333333333333,False,PRIMARY_POSITIVE_FOLLOWUP_14447
